,Zone,Year,PRECIP,TMPMAX,TMPMIN,RELHUM,WINDLY,SUNHRS,Irrg_Yes,Irrg_No,Seed_Improved,Seed_Not_Improved,Damage_Yes,Damage_No,Dreason_Crop_disease,Dreason_Frost,Dreason_Floods,Dreason_Locust,Dreason_Insects,Dreason_Toolittle_rain,Dreason_Toomuch_rain,Dreason_Wild_animals,Dreason_Birds,Dreason_Hail,Dreason_Weeds,Dreason_ShortageSeed,Dreason_DepletionSoil,Dreason_Security,Dreason_UseBadCrop,Dmeasure_Yes,Dmeasure_No,Dmtype_Chemical,Dmtype_NonChemical,Dmtype_Both,Dmchem_Insecticide,Dmchem_Herbicide,Dmchem_Fungicide,Dmchem_Insectcide_Her,Dmchem_Insectcide_Fun,Dmchem_Herbicide_Fung,Dmchem_All,Fert_Yes,Fert_No,Ferttype_Natural,Ferttype_Chemical,Ferttype_Both,D22a_Urea,D22a_DAP,D22a_Urea_DAP,D22a_NPS,D22a_Urea_NPS,D22a_Mixed,D23_Manure,D23_Compost,D23_Organic,D23_Manure_Compost,D23_Manure_Organic,D23_Compost_Organic,D23_All,Fweight,Area,Production,Yield
10,3,1999,53.94010359,24.80980452,12.81265372,60.32101824,1.769298782,8.411217293,1.0,398.0,6.0,393.0,202.0,197.0,5.0,0.0,7.0,0.0,78.0,55.0,22.0,10.0,0.0,0.0,3.0,0.0,17.0,0,5.0,395.0,4.0,2.0,383.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,241.0,158.0,43.0,187.0,11.0,53.0,55.0,88.0,0.0,0.0,0.0,46.0,6.0,0.0,1.0,0.0,0.0,0.0,79161.36000000003,9496.77,89233.18,9.4
11,4,1999,60.30697397,38.89251201,26.6906282,47.74326823,17.25928086,22.56899437,1.0,180.0,0.0,181.0,47.0,134.0,0.0,0.0,7.0,0.0,8.0,7.0,6.0,1.0,0.0,0.0,2.0,1.0,11.0,0,4.0,180.0,1.0,6.0,170.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,85.0,96.0,33.0,45.0,7.0,0.0,0.0,49.0,0.0,0.0,0.0,38.0,1.0,0.0,1.0,0.0,0.0,0.0,21595.18,5020.33,64762.77,12.9
12,1,2000,79.61410256,27.47435897,14.375,52.59224505,1.3525641030000002,8.443013039,0.0,678.0,23.0,652.0,194.0,484.0,4.0,0.0,20.0,0.0,18.0,39.0,50.0,1.0,0.0,2.0,20.0,3.0,34.0,0,3.0,633.0,5.0,11.0,621.0,1.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,480.0,198.0,49.0,422.0,8.0,3.0,159.0,260.0,0.0,0.0,0.0,45.0,1.0,1.0,5.0,0.0,0.0,0.0,180889.51,40033.08,511782.56,12.78
13,2,2000,70.72199416,26.7155997,12.88435006,45.49515497,1.3525641030000002,34.86208168,25.0,1767.0,6.0,1786.0,578.0,1213.0,44.0,0.0,47.0,0.0,63.0,74.0,191.0,4.0,0.0,37.0,47.0,3.0,61.0,0,7.0,1764.0,28.0,195.0,1569.0,0.0,51.0,98.0,4.0,30.0,0.0,9.0,0.0,1401.0,389.0,253.0,1002.0,150.0,116.0,56.0,979.0,0.0,0.0,0.0,309.0,8.0,0.0,83.0,4.0,0.0,0.0,619865.97,69262.03,694607.38,10.03
14,3,2000,77.15548821,24.91749683,9.532163433,64.16717209,1.661606474,8.280448062,6.0,196.0,9.0,193.0,70.0,132.0,5.0,2.0,1.0,0.0,6.0,7.0,40.0,1.0,1.0,0.0,2.0,0.0,5.0,0,0.0,201.0,1.0,7.0,194.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,109.0,93.0,63.0,40.0,10.0,11.0,8.0,26.0,0.0,0.0,0.0,63.0,8.0,0.0,0.0,0.0,0.0,0.0,51706.29000000001,6061.21,99274.78,16.37870656189111
15,4,2000,45.67453166,42.45323407,36.45002894,47.74326823,29.04733488,35.66723149,0.0,114.0,0.0,114.0,27.0,87.0,5.0,0.0,2.0,0.0,2.0,6.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0,3.0,112.0,2.0,12.0,100.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,48.0,66.0,16.0,26.0,6.0,2.0,0.0,31.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,17189.92,3690.37,45315.91,12.28
16,1,2001,71.11410256,29.74665968,14.49038462,52.59224505,1.391025641,8.57378227,1.0,780.0,38.0,742.0,163.0,618.0,6.0,0.0,4.0,0.0,34.0,55.0,2.0,2.0,0.0,19.0,5.0,0.0,34.0,0,2.0,778.0,3.0,76.0,697.0,5.0,6.0,67.0,3.0,3.0,1.0,0.0,0.0,585.0,195.0,34.0,541.0,10.0,8.0,160.0,382.0,0.0,0.0,0.0,32.0,3.0,0.0,6.0,0.0,0.0,0.0,208830.12,38260.287692307684,5764436.366923078,150.663696344396
17,2,2001,37.59379966,26.80790739,13.01511929,45.49515497,1.391025641,34.86208168,21.0,1487.0,3.0,1504.0,566.0,941.0,59.0,3.0,11.0,0.0,9.0,253.0,10.0,0.0,1.0,189.0,3.0,2.0,16.0,0,10.0,1495.0,11.0,151.0,1342.0,2.0,66.0,33.0,10.0,34.0,7.0,0.0,0.0,1115.0,389.0,209.0,723.0,187.0,181.0,38.0,695.0,0.0,0.0,0.0,269.0,32.0,0.0,95.0,0.0,0.0,4.0,544381.97,62780.19461538462,750304.0892307692,11.951286449929281
18,3,2001,38.20164205,25.1867276,9.847548048,55.16717209,1.746221859,12.15984717,6.0,255.0,0.0,261.0,186.0,75.0,0.0,0.0,0.0,0.0,6.0,174.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,0.0,254.0,7.0,10.0,244.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,154.0,107.0,118.0,30.0,6.0,12.0,6.0,21.0,0.0,0.0,0.0,73.0,14.0,0.0,38.0,0.0,0.0,0.0,71613.43000000002,8141.308461538462,99274.78,12.193958805147652
19,4,2001,61.17734516,38.60939644,22.52926824,47.74326823,2.734266489,10.14399476,0.0,102.0,0.0,101.0,24.0,78.0,5.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0,6.0,102.0,0.0,2.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,32.0,70.0,8.0,19.0,5.0,0.0,1.0,24.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,13655.070000000005,5674.191538461538,79562.97083333334,14.021904317827365
