,Zone,Year,PRECIP,TMPMAX,TMPMIN,RELHUM,WINDLY,SUNHRS,Irrg_Yes,Irrg_No,Seed_Improved,Seed_Not_Improved,Damage_Yes,Damage_No,Dreason_Crop_disease,Dreason_Frost,Dreason_Floods,Dreason_Locust,Dreason_Insects,Dreason_Toolittle_rain,Dreason_Toomuch_rain,Dreason_Wild_animals,Dreason_Birds,Dreason_Hail,Dreason_Weeds,Dreason_ShortageSeed,Dreason_DepletionSoil,Dreason_Security,Dreason_UseBadCrop,Dmeasure_Yes,Dmeasure_No,Dmtype_Chemical,Dmtype_NonChemical,Dmtype_Both,Dmchem_Insecticide,Dmchem_Herbicide,Dmchem_Fungicide,Dmchem_Insectcide_Her,Dmchem_Insectcide_Fun,Dmchem_Herbicide_Fung,Dmchem_All,Fert_Yes,Fert_No,Ferttype_Natural,Ferttype_Chemical,Ferttype_Both,D22a_Urea,D22a_DAP,D22a_Urea_DAP,D22a_NPS,D22a_Urea_NPS,D22a_Mixed,D23_Manure,D23_Compost,D23_Organic,D23_Manure_Compost,D23_Manure_Organic,D23_Compost_Organic,D23_All,Fweight,Area,Production,Yield
10,3,1999,53.94010359,24.80980452,12.81265372,60.32101824,1.769298782,8.411217293,1.0,182.0,0.0,183.0,79.0,104.0,23.0,0.0,0.0,0.0,2.0,35.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,170.0,13.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,80.0,46.0,48.0,9.0,15.0,3.0,38.0,0.0,0.0,0.0,47.0,5.0,0.0,2.0,0.0,0.0,0.0,36429.070000000014,3305.06,42617.08,12.89
11,4,1999,60.30697397,38.89251201,26.6906282,47.74326823,17.25928086,22.56899437,0.0,315.0,0.0,315.0,69.0,245.0,9.0,0.0,3.0,0.0,2.0,4.0,8.0,4.0,0.0,1.0,22.0,1.0,7.0,0.0,8.0,312.0,3.0,7.0,297.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,65.0,248.0,43.0,21.0,1.0,0.0,1.0,21.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,35605.76,10692.82,209331.16,19.58
12,1,2000,79.61410256,27.47435897,14.375,52.59224505,1.3525641030000002,8.443013039,3.0,752.0,3.0,752.0,305.0,450.0,20.0,0.0,2.0,0.0,75.0,21.0,55.0,1.0,0.0,5.0,64.0,2.0,49.0,1.0,10.0,731.0,7.0,84.0,642.0,5.0,1.0,81.0,1.0,0.0,0.0,0.0,0.0,496.0,257.0,122.0,365.0,11.0,12.0,224.0,140.0,0.0,0.0,0.0,116.0,0.0,0.0,10.0,0.0,0.0,0.0,199917.93,45309.52,584429.92,15.33
13,2,2000,70.72199416,26.7155997,12.88435006,45.49515497,1.3525641030000002,34.86208168,10.0,618.0,0.0,627.0,429.0,198.0,159.0,5.0,3.0,3.0,68.0,47.0,35.0,0.0,0.0,30.0,33.0,0.0,36.0,0.0,10.0,627.0,1.0,18.0,609.0,0.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,507.0,121.0,301.0,156.0,50.0,39.0,19.0,150.0,0.0,0.0,0.0,257.0,7.0,1.0,91.0,0.0,0.0,0.0,217264.05,17448.95,204828.16,11.74
14,3,2000,77.15548821,24.91749683,9.532163433,64.16717209,1.661606474,8.280448062,3.0,114.0,3.0,113.0,48.0,68.0,32.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,110.0,6.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,41.0,23.0,47.0,6.0,6.0,2.0,46.0,0.0,0.0,0.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,31319.18,2713.55,34267.67,12.63
15,4,2000,45.67453166,42.45323407,36.45002894,47.74326823,29.04733488,35.66723149,0.0,251.0,0.0,251.0,82.0,169.0,9.0,0.0,6.0,0.0,7.0,3.0,11.0,1.0,0.0,0.0,41.0,1.0,0.0,0.0,3.0,248.0,3.0,27.0,221.0,0.0,0.0,23.0,2.0,0.0,1.0,0.0,0.0,48.0,203.0,37.0,11.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,34.0,1.0,0.0,2.0,0.0,0.0,0.0,39272.23,11954.78,212319.7,17.76
16,1,2001,71.11410256,29.74665968,14.49038462,52.59224505,1.391025641,8.57378227,3.0,770.0,4.0,766.0,155.0,617.0,1.0,1.0,2.0,0.0,17.0,66.0,1.0,0.0,1.0,11.0,21.0,3.0,19.0,0.0,12.0,768.0,5.0,79.0,686.0,3.0,5.0,74.0,2.0,2.0,0.0,0.0,0.0,527.0,246.0,121.0,387.0,19.0,14.0,192.0,197.0,0.0,0.0,0.0,116.0,8.0,0.0,11.0,0.0,0.0,0.0,204246.2,46033.55230769231,818302.3853846155,17.776216354432314
17,2,2001,37.59379966,26.80790739,13.01511929,45.49515497,1.391025641,34.86208168,2.0,565.0,0.0,567.0,257.0,310.0,37.0,0.0,1.0,0.0,7.0,108.0,0.0,0.0,0.0,79.0,7.0,2.0,8.0,0.0,8.0,561.0,6.0,7.0,554.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,220.0,204.0,101.0,42.0,44.0,9.0,88.0,0.0,0.0,0.0,174.0,14.0,0.0,59.0,0.0,0.0,0.0,204724.77,14860.19923076923,192198.54615384614,12.933779902215823
18,3,2001,38.20164205,25.1867276,9.847548048,55.16717209,1.746221859,12.15984717,1.0,93.0,0.0,94.0,57.0,37.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,94.0,0.0,2.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,11.0,60.0,9.0,14.0,14.0,1.0,7.0,0.0,0.0,0.0,56.0,13.0,0.0,6.0,0.0,0.0,0.0,26519.76,3892.503846153845,51171.17923076923,13.146083151936018
19,4,2001,61.17734516,38.60939644,22.52926824,47.74326823,2.734266489,10.14399476,3.0,244.0,0.0,247.0,56.0,191.0,1.0,0.0,4.0,0.0,0.0,7.0,2.0,4.0,0.0,0.0,24.0,0.0,6.0,0.0,8.0,240.0,7.0,8.0,229.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,37.0,210.0,32.0,2.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,26.0,4.0,0.0,4.0,0.0,0.0,0.0,33379.180000000015,9581.653846153846,214706.2746153846,22.408060034601377
