,Unnamed: 0,Zone,Year,PRECIP,TMPMAX,TMPMIN,RELHUM,WINDLY,SUNHRS,Irrg_Yes,Irrg_No,Seed_Improved,Seed_Not_Improved,Damage_Yes,Damage_No,Dreason_Crop_disease,Dreason_Frost,Dreason_Floods,Dreason_Locust,Dreason_Insects,Dreason_Toolittle_rain,Dreason_Toomuch_rain,Dreason_Wild_animals,Dreason_Birds,Dreason_Hail,Dreason_Weeds,Dreason_ShortageSeed,Dreason_DepletionSoil,Dreason_Security,Dreason_UseBadCrop,Dmeasure_Yes,Dmeasure_No,Dmtype_Chemical,Dmtype_NonChemical,Dmtype_Both,Dmchem_Insecticide,Dmchem_Herbicide,Dmchem_Fungicide,Dmchem_Insectcide_Her,Dmchem_Insectcide_Fun,Dmchem_Herbicide_Fung,Dmchem_All,Fert_Yes,Fert_No,Ferttype_Natural,Ferttype_Chemical,Ferttype_Both,D22a_Urea,D22a_DAP,D22a_Urea_DAP,D22a_NPS,D22a_Urea_NPS,D22a_Mixed,D23_Manure,D23_Compost,D23_Organic,D23_Manure_Compost,D23_Manure_Organic,D23_Compost_Organic,D23_All,Fweight,Area,Production,Crop,CropLabel
16,16,1,2001,71.11410256,29.74665968,14.49038462,52.59224505,1.391025641,8.57378227,1.0,37.0,0.0,37.0,15.0,22.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,37.0,0.0,4.0,33.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,21.0,17.0,17.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,10213.549999999996,463.6366666666667,4374.551,1,1.0
17,17,2,2001,37.59379966,26.80790739,13.01511929,45.49515497,1.391025641,34.86208168,8.0,710.0,1.0,717.0,291.0,426.0,18.0,1.0,3.0,0.0,18.0,159.0,4.0,3.0,1.0,58.0,6.0,0.0,17.0,0.0,3.0,710.0,8.0,36.0,674.0,0.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,516.0,200.0,322.0,131.0,65.0,19.0,5.0,169.0,0.0,0.0,0.0,219.0,75.0,0.0,100.0,0.0,0.0,0.0,260746.83,18840.298461538463,251653.3253846154,1,2.0
18,18,3,2001,38.20164205,25.1867276,9.847548048,55.16717209,1.746221859,12.15984717,16.0,1394.0,1.0,1409.0,956.0,454.0,12.0,0.0,3.0,0.0,2.0,881.0,4.0,8.0,1.0,32.0,2.0,1.0,6.0,0.0,4.0,1384.0,25.0,6.0,1378.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1053.0,355.0,847.0,136.0,72.0,27.0,56.0,119.0,0.0,0.0,0.0,644.0,80.0,0.0,202.0,2.0,0.0,0.0,386571.16,27551.461538461543,401666.6392307693,1,2.0
19,19,4,2001,61.17734516,38.60939644,22.52926824,47.74326823,2.734266489,10.14399476,6.0,82.0,0.0,87.0,6.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,86.0,1.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,36.0,40.0,9.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,37.0,5.0,0.0,0.0,0.0,0.0,0.0,11218.57,2414.8814285714284,24166.85,1,1.0
20,20,1,2002,88.98333333,28.48974359,15.23653846,52.59224505,1.321794872,8.127628424,0.0,42.0,0.0,42.0,36.0,6.0,0.0,1.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,28.0,12.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,13015.54,463.6366666666667,4374.551,1,1.0
21,21,2,2002,62.26137927,27.36175354,12.73819621,45.49515497,1.321794872,34.86208168,3.0,808.0,0.0,811.0,542.0,269.0,8.0,1.0,0.0,0.0,13.0,482.0,1.0,2.0,0.0,12.0,11.0,0.0,10.0,0.0,2.0,807.0,4.0,112.0,695.0,0.0,5.0,108.0,0.0,1.0,0.0,0.0,0.0,650.0,161.0,268.0,190.0,192.0,16.0,19.0,347.0,0.0,0.0,0.0,226.0,25.0,0.0,206.0,0.0,0.0,0.0,318957.66,18840.298461538463,251653.3253846154,1,2.0
22,22,3,2002,30.90164205,25.20211221,9.116778818,57.4748644,1.646221859,9.582600786,17.0,1355.0,2.0,1369.0,940.0,431.0,0.0,0.0,19.0,0.0,0.0,878.0,12.0,1.0,0.0,12.0,0.0,0.0,9.0,0.0,9.0,1365.0,5.0,18.0,1345.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1147.0,224.0,818.0,185.0,146.0,24.0,146.0,149.0,0.0,0.0,0.0,615.0,103.0,43.0,209.0,0.0,0.0,0.0,415474.74,27551.461538461543,401666.6392307693,1,2.0
23,23,4,2002,44.47500364,40.48777343,25.81533753,47.74326823,7.466489628,20.20643456,0.0,32.0,0.0,32.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,1.0,1.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6491.310000000001,2414.8814285714284,24166.85,1,1.0
24,24,1,2003,85.29102564,27.80512821,14.49038462,49.2185718,1.221794872,7.589166885,0.0,27.0,0.0,27.0,10.0,17.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,7.0,7.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,7292.550000000001,255.78,3434.95,1,2.0
25,25,2,2003,54.8959095,26.60790739,12.90742698,45.49515497,1.221794872,34.86208168,3.0,651.0,0.0,654.0,227.0,427.0,61.0,0.0,13.0,0.0,20.0,32.0,33.0,3.0,1.0,24.0,9.0,0.0,17.0,0.0,14.0,654.0,0.0,8.0,553.0,93.0,36.0,43.0,7.0,16.0,0.0,0.0,0.0,536.0,118.0,136.0,233.0,167.0,31.0,41.0,328.0,0.0,0.0,0.0,184.0,42.0,0.0,79.0,0.0,0.0,0.0,242372.24,18384.54,317097.55,1,2.0
