,Zone,Year,PRECIP,TMPMAX,TMPMIN,RELHUM,WINDLY,SUNHRS,Irrg_Yes,Irrg_No,Seed_Improved,Seed_Not_Improved,Damage_Yes,Damage_No,Dreason_Crop_disease,Dreason_Frost,Dreason_Floods,Dreason_Locust,Dreason_Insects,Dreason_Toolittle_rain,Dreason_Toomuch_rain,Dreason_Wild_animals,Dreason_Birds,Dreason_Hail,Dreason_Weeds,Dreason_ShortageSeed,Dreason_DepletionSoil,Dreason_Security,Dreason_UseBadCrop,Dmeasure_Yes,Dmeasure_No,Dmtype_Chemical,Dmtype_NonChemical,Dmtype_Both,Dmchem_Insecticide,Dmchem_Herbicide,Dmchem_Fungicide,Dmchem_Insectcide_Her,Dmchem_Insectcide_Fun,Dmchem_Herbicide_Fung,Dmchem_All,Fert_Yes,Fert_No,Ferttype_Natural,Ferttype_Chemical,Ferttype_Both,D22a_Urea,D22a_DAP,D22a_Urea_DAP,D22a_NPS,D22a_Urea_NPS,D22a_Mixed,D23_Manure,D23_Compost,D23_Organic,D23_Manure_Compost,D23_Manure_Organic,D23_Compost_Organic,D23_All,Fweight,Area,Production,Yield
15,4,2000,45.67453166,42.45323407,36.45002894,47.74326823,29.04733488,35.66723149,0.0,42.0,3.0,39.0,4.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,9.0,15.0,6.0,12.0,0.0,0.0,17.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,6105.6,1132.53,26633.14666666667,23.51650434572741
16,1,2001,71.11410256,29.74665968,14.49038462,52.59224505,1.391025641,8.57378227,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,782.88,14.45,156.87,10.8560553633218
17,2,2001,37.59379966,26.80790739,13.01511929,45.49515497,1.391025641,34.86208168,6.0,773.0,14.0,764.0,288.0,487.0,17.0,0.0,5.0,0.0,17.0,138.0,6.0,5.0,1.0,84.0,5.0,0.0,6.0,0.0,4.0,757.0,17.0,37.0,720.0,0.0,5.0,14.0,0.0,14.0,1.0,0.0,0.0,555.0,224.0,258.0,204.0,93.0,27.0,3.0,267.0,0.0,0.0,0.0,246.0,57.0,0.0,46.0,0.0,0.0,2.0,285519.77,22263.41692307693,373957.1146153846,16.796932649981642
18,3,2001,38.20164205,25.1867276,9.847548048,55.16717209,1.746221859,12.15984717,14.0,1194.0,55.0,1153.0,814.0,394.0,31.0,0.0,3.0,0.0,7.0,668.0,5.0,14.0,0.0,65.0,4.0,2.0,9.0,0.0,6.0,1190.0,16.0,10.0,1178.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,892.0,316.0,523.0,241.0,128.0,73.0,78.0,217.0,0.0,0.0,0.0,485.0,107.0,1.0,71.0,1.0,0.0,0.0,331270.02,26057.19769230769,415430.1630769232,15.943009988351958
19,4,2001,61.17734516,38.60939644,22.52926824,47.74326823,2.734266489,10.14399476,0.0,32.0,1.0,31.0,3.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,1.0,2.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,8.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4099.75,1132.53,26633.14666666667,23.51650434572741
20,1,2002,88.98333333,28.48974359,15.23653846,52.59224505,1.3217948720000001,8.127628424,1.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1325.16,14.45,156.87,10.8560553633218
21,2,2002,62.26137927,27.36175354,12.73819621,45.49515497,1.3217948720000001,34.86208168,15.0,829.0,50.0,794.0,549.0,295.0,13.0,0.0,0.0,0.0,13.0,478.0,2.0,0.0,0.0,12.0,13.0,0.0,16.0,0.0,2.0,838.0,6.0,66.0,772.0,0.0,3.0,65.0,0.0,0.0,0.0,1.0,0.0,662.0,182.0,191.0,275.0,196.0,18.0,14.0,438.0,0.0,0.0,0.0,200.0,21.0,0.0,165.0,0.0,0.0,0.0,340388.09,22263.41692307693,373957.1146153846,16.796932649981642
22,3,2002,30.90164205,25.20211221,9.116778818,57.474864399999994,1.646221859,9.582600786,10.0,1191.0,91.0,1107.0,729.0,467.0,0.0,7.0,4.0,0.0,0.0,672.0,16.0,1.0,0.0,14.0,3.0,0.0,4.0,0.0,8.0,1191.0,7.0,38.0,1152.0,1.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,1014.0,185.0,538.0,291.0,186.0,66.0,117.0,292.0,0.0,0.0,0.0,554.0,87.0,5.0,76.0,0.0,0.0,0.0,366047.9,26057.19769230769,415430.1630769232,15.943009988351958
23,4,2002,44.47500364,40.48777343,25.81533753,47.74326823,7.466489628,20.20643456,0.0,11.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2289.56,1132.53,26633.14666666667,23.51650434572741
24,1,2003,85.29102564,27.80512821,14.49038462,49.2185718,1.221794872,7.589166885,0.0,5.0,0.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1439.97,14.45,156.87,10.8560553633218
25,2,2003,54.895909499999995,26.60790739,12.90742698,45.49515497,1.221794872,34.86208168,5.0,745.0,40.0,710.0,243.0,507.0,38.0,0.0,8.0,0.0,8.0,68.0,24.0,9.0,0.0,34.0,25.0,0.0,19.0,0.0,10.0,750.0,0.0,6.0,703.0,41.0,10.0,24.0,1.0,12.0,0.0,0.0,0.0,585.0,165.0,85.0,303.0,197.0,19.0,19.0,462.0,0.0,0.0,0.0,199.0,38.0,0.0,50.0,0.0,0.0,0.0,277772.6900000001,25849.01,518553.16,20.06
26,3,2003,46.00891847,24.84057375,9.070624972000001,54.72399155,1.661606474,9.110720012,26.0,1160.0,159.0,1027.0,261.0,925.0,17.0,0.0,14.0,0.0,2.0,47.0,118.0,1.0,0.0,12.0,22.0,0.0,14.0,0.0,14.0,1168.0,18.0,7.0,1132.0,29.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,1027.0,159.0,248.0,435.0,344.0,28.0,146.0,606.0,0.0,0.0,0.0,413.0,108.0,0.0,83.0,1.0,0.0,0.0,379381.5500000001,27104.92,531583.43,19.61
27,4,2003,94.40349202,37.20477407,26.21695356,46.15471371,10.72195181,14.56244931,0.0,19.0,2.0,17.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,17.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,4.0,10.0,2.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,7.0,1.0,1.0,5.0,0.0,0.0,0.0,3896.93,739.81,13595.36,18.38
28,1,2004,80.33717949,27.95128205,14.49038462,50.32847597,1.106410256,8.266089962,0.0,5.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1589.3300000000004,14.45,156.87,10.8560553633218
29,2,2004,61.65498981,30.99764308,21.420239600000002,45.49515497,1.106410256,34.86208168,13.0,688.0,27.0,674.0,173.0,527.0,4.0,4.0,9.0,0.0,20.0,10.0,27.0,22.0,1.0,37.0,7.0,0.0,26.0,0.0,6.0,599.0,100.0,9.0,509.0,70.0,7.0,55.0,9.0,13.0,0.0,10.0,0.0,601.0,100.0,87.0,369.0,146.0,12.0,15.0,485.0,0.0,0.0,0.0,145.0,43.0,6.0,39.0,0.0,0.0,0.0,266747.05000000005,25004.91,467344.25,18.69
30,3,2004,49.80933436,24.90980452,7.770624972,44.93640286,1.700068013,7.757371139,15.0,1308.0,275.0,1048.0,409.0,914.0,40.0,20.0,8.0,3.0,28.0,109.0,42.0,87.0,0.0,24.0,11.0,5.0,13.0,0.0,6.0,1100.0,223.0,55.0,997.0,47.0,7.0,60.0,0.0,34.0,0.0,0.0,1.0,1221.0,102.0,145.0,569.0,507.0,50.0,194.0,832.0,0.0,0.0,0.0,331.0,180.0,7.0,104.0,0.0,0.0,29.0,358824.61,28602.21,507883.66,17.76
31,4,2004,43.11785708,39.47298528,24.015933999999998,47.17295397,6.474778405,12.65373745,0.0,14.0,0.0,14.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,9.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,2616.2900000000004,1132.53,26633.14666666667,23.51650434572741
32,1,2005,105.1910256,27.94358974,14.21346154,52.27291523,1.052564103,9.768242686,0.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1771.7800000000002,14.45,156.87,10.8560553633218
