,Zone,Year,PRECIP,TMPMAX,TMPMIN,RELHUM,WINDLY,SUNHRS,Irrg_Yes,Irrg_No,Seed_Improved,Seed_Not_Improved,Damage_Yes,Damage_No,Dreason_Crop_disease,Dreason_Frost,Dreason_Floods,Dreason_Locust,Dreason_Insects,Dreason_Toolittle_rain,Dreason_Toomuch_rain,Dreason_Wild_animals,Dreason_Birds,Dreason_Hail,Dreason_Weeds,Dreason_ShortageSeed,Dreason_DepletionSoil,Dreason_Security,Dreason_UseBadCrop,Dmeasure_Yes,Dmeasure_No,Dmtype_Chemical,Dmtype_NonChemical,Dmtype_Both,Dmchem_Insecticide,Dmchem_Herbicide,Dmchem_Fungicide,Dmchem_Insectcide_Her,Dmchem_Insectcide_Fun,Dmchem_Herbicide_Fung,Dmchem_All,Fert_Yes,Fert_No,Ferttype_Natural,Ferttype_Chemical,Ferttype_Both,D22a_Urea,D22a_DAP,D22a_Urea_DAP,D22a_NPS,D22a_Urea_NPS,D22a_Mixed,D23_Manure,D23_Compost,D23_Organic,D23_Manure_Compost,D23_Manure_Organic,D23_Compost_Organic,D23_All,Fweight,Area,Production,Yield
10,3,1999,53.94010359,24.80980452,12.81265372,60.32101824,1.769298782,8.411217293,0.0,333.0,0.0,333.0,132.0,199.0,2.0,0.0,3.0,0.0,4.0,48.0,6.0,2.0,4.0,4.0,38.0,0.0,10.0,0.0,11.0,303.0,28.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,227.0,71.0,32.0,3.0,10.0,8.0,14.0,0.0,0.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,65564.22,5538.17,78621.6,14.2
11,4,1999,60.30697397,38.89251201,26.6906282,47.74326823,17.25928086,22.56899437,3.0,1340.0,7.0,1336.0,410.0,928.0,12.0,2.0,3.0,0.0,17.0,18.0,81.0,20.0,9.0,4.0,196.0,2.0,9.0,0.0,37.0,1314.0,24.0,20.0,1211.0,83.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,143.0,1187.0,139.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,133.0,2.0,0.0,2.0,0.0,0.0,0.0,91485.75,36103.42,587333.91,16.27
12,1,2000,79.61410256,27.47435897,14.375,52.59224505,1.3525641030000002,8.443013039,3.0,777.0,3.0,775.0,355.0,424.0,13.0,1.0,3.0,0.0,52.0,66.0,90.0,4.0,1.0,7.0,64.0,0.0,45.0,0.0,9.0,770.0,9.0,78.0,692.0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,361.0,419.0,311.0,38.0,14.0,1.0,26.0,19.0,0.0,0.0,0.0,293.0,2.0,0.0,28.0,0.0,0.0,0.0,205672.89,54973.26,838239.16,15.25
13,2,2000,70.72199416,26.7155997,12.88435006,45.49515497,1.3525641030000002,34.86208168,3.0,740.0,0.0,740.0,408.0,330.0,62.0,1.0,10.0,0.0,45.0,112.0,16.0,0.0,0.0,22.0,96.0,1.0,26.0,0.0,17.0,708.0,24.0,15.0,691.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,454.0,287.0,383.0,44.0,29.0,18.0,9.0,47.0,0.0,0.0,0.0,266.0,11.0,0.0,140.0,0.0,0.0,0.0,256705.25000000003,32678.65,449605.93,13.76
14,3,2000,77.15548821,24.91749683,9.532163433,64.16717209,1.661606474,8.280448062,3.0,104.0,0.0,107.0,16.0,90.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,103.0,4.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,69.0,30.0,12.0,3.0,5.0,6.0,5.0,0.0,0.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,27516.810000000005,3801.5718181818174,75449.48444444446,19.8469180783568
15,4,2000,45.67453166,42.45323407,36.45002894,47.74326823,29.04733488,35.66723149,0.0,558.0,1.0,557.0,254.0,304.0,8.0,0.0,4.0,0.0,9.0,2.0,122.0,10.0,1.0,0.0,80.0,3.0,6.0,0.0,9.0,545.0,13.0,54.0,490.0,1.0,0.0,53.0,3.0,1.0,0.0,0.0,0.0,91.0,467.0,87.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,83.0,3.0,0.0,5.0,0.0,0.0,0.0,85894.57,46851.22,774448.72,16.53
16,1,2001,71.11410256,29.74665968,14.49038462,52.59224505,1.391025641,8.57378227,0.0,767.0,1.0,762.0,326.0,440.0,4.0,0.0,1.0,0.0,4.0,185.0,3.0,4.0,0.0,38.0,49.0,0.0,32.0,0.0,6.0,761.0,6.0,100.0,657.0,4.0,13.0,73.0,6.0,7.0,2.0,4.0,0.0,352.0,413.0,268.0,76.0,9.0,2.0,40.0,42.0,0.0,0.0,0.0,244.0,2.0,0.0,27.0,0.0,0.0,0.0,203382.18,61628.773076923084,1450652.806923077,23.538563798964773
17,2,2001,37.59379966,26.80790739,13.01511929,45.49515497,1.391025641,34.86208168,9.0,1032.0,1.0,1036.0,551.0,485.0,49.0,1.0,2.0,0.0,19.0,272.0,1.0,0.0,0.0,77.0,103.0,1.0,15.0,0.0,11.0,1022.0,11.0,17.0,1005.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,649.0,391.0,565.0,45.0,40.0,30.0,3.0,49.0,0.0,0.0,0.0,334.0,20.0,0.0,241.0,0.0,0.0,10.0,371774.77,44595.28461538461,780042.3730769231,17.491588624323338
18,3,2001,38.20164205,25.1867276,9.847548048,55.16717209,1.746221859,12.15984717,2.0,136.0,1.0,137.0,102.0,36.0,1.0,0.0,0.0,0.0,0.0,95.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,134.0,4.0,6.0,128.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,95.0,42.0,89.0,7.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,73.0,12.0,0.0,4.0,0.0,0.0,0.0,37139.07,3801.5718181818174,75449.48444444446,19.8469180783568
19,4,2001,61.17734516,38.60939644,22.52926824,47.74326823,2.734266489,10.14399476,0.0,688.0,0.0,687.0,237.0,449.0,2.0,0.0,5.0,0.0,1.0,25.0,17.0,18.0,2.0,7.0,126.0,2.0,6.0,0.0,26.0,670.0,17.0,86.0,580.0,4.0,0.0,73.0,1.0,16.0,0.0,0.0,0.0,95.0,592.0,94.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,3.0,0.0,11.0,0.0,0.0,0.0,92946.23,52979.07076923077,1290409.5284615387,24.35696794461302
20,1,2002,88.98333333,28.48974359,15.23653846,52.59224505,1.3217948720000001,8.127628424,4.0,719.0,20.0,703.0,550.0,173.0,1.0,0.0,2.0,0.0,2.0,503.0,0.0,6.0,0.0,5.0,27.0,0.0,2.0,0.0,2.0,692.0,31.0,139.0,551.0,2.0,9.0,131.0,0.0,0.0,0.0,0.0,0.0,336.0,387.0,238.0,85.0,13.0,2.0,71.0,22.0,0.0,0.0,0.0,247.0,2.0,0.0,5.0,0.0,0.0,0.0,222846.2,61628.773076923084,1450652.806923077,23.538563798964773
21,2,2002,62.26137927,27.36175354,12.73819621,45.49515497,1.3217948720000001,34.86208168,0.0,387.0,0.0,387.0,347.0,40.0,0.0,0.0,0.0,0.0,2.0,333.0,0.0,0.0,0.0,7.0,3.0,0.0,2.0,0.0,0.0,385.0,2.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,155.0,218.0,14.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,125.0,32.0,0.0,63.0,0.0,0.0,0.0,164830.37,44595.28461538461,780042.3730769231,17.491588624323338
22,3,2002,30.90164205,25.20211221,9.116778818,57.474864399999994,1.646221859,9.582600786,0.0,9.0,0.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2624.24,3801.5718181818174,75449.48444444446,19.8469180783568
