,A,B,C,D,E,F,G,H,I,J
0,-0.5494604664076868,-0.7591378527245365,-0.3056464052720122,-0.35726534360610024,-0.3845513500344335,0.17961514990120583,0.17289708535418888,0.3534462676193487,0.102173240907716,-0.05459972849778275
1,-0.9598440535091624,0.9459903542183642,0.3302331627125749,0.35106868591319396,0.15691449498894128,0.10139366790647605,0.08283953515866566,0.01986865731743159,-0.06459496470759353,0.033625568771423205
2,-0.24841086274587498,-0.5265217418369802,0.2503965411852852,-0.25524883782652436,0.014074724775401646,-0.516341750070223,0.3595824332723976,-0.11526512103315631,0.19698518762107528,0.11575282113021511
3,2.1040431360919687,-0.5487639053491241,0.5306138765399955,-0.7443484368206771,0.094434239411774,0.1043862976416827,-0.24990912427320444,0.2472190212880968,0.002083073682771231,0.7666882553597122
4,-0.875292208861932,0.5528906567607825,0.30867932859868974,0.08656244311197052,0.08638564109188578,-0.07506441862333363,-0.12220222556735655,0.028921419705849893,-0.08122597021835555,-0.11023461221756362
5,-0.30851027207438,0.5068315569455317,0.11940918741415088,-0.18654985714310562,-0.1277258179238865,-0.13553876811909848,0.6288653458314635,-0.07720265410373688,0.13978316816613848,0.12199701666729144
6,-0.8415029376217662,-0.8788230274621236,-0.09496859226425372,0.2833178465968705,-0.03876165689437046,0.344828653981384,-0.008509875190033286,0.4021200033939791,-0.005324835116947239,0.0985918966299748
7,0.3462815586690654,0.24820175316198448,-0.4893832499432873,0.08496110406583422,-0.4118798148785912,-0.016358920955085923,-0.14706081805972884,-0.04527061898152098,-0.03332757112236267,0.15337961794073385
8,-0.28478127976568673,0.6734000514784388,0.29172570715749563,-0.37198159919216806,-0.2721848534562251,-0.08635912139823929,-0.05755125730459818,-0.009124515712174097,-0.042855426293039754,-0.10706933395795505
9,0.5196269602457849,-0.6206166961964844,-0.2911871044077597,-0.41113142945253217,-0.4333605757831413,0.250357168955836,-0.07230640617262929,0.017364749874621343,-0.13352325642058613,0.11076903137975629
10,-0.6907455207628573,0.5839030161066694,0.20757136945429575,-0.37117401409435746,-0.15983642817515334,-0.04827440672507625,0.02929249092584753,0.17975750963563966,0.10941594548571278,-0.07545983463219995
11,-0.29123751490483435,0.06041205761804255,0.09984541772674996,-0.10208803536267402,0.22221001712214036,-0.2379268680959091,0.22962932717960036,-0.22039203190397755,-0.058868623696398344,0.047564008976396656
12,-0.5986822655887413,-0.560804896514811,-0.37183914115261313,0.23243943590283558,-0.02512717443191976,0.3423663210224691,0.024509240982277743,-0.03732528864765722,0.022724495162520345,0.019158270634974092
13,-0.13080522026005573,-0.5243828530365916,0.23263240870549864,-0.11768832109361124,0.23686229487712268,-0.48452141393429915,0.24371498914815878,-0.24111397643350216,0.2891930506663378,0.13667505050137865
14,-0.4652443716370848,0.48642523130269555,0.06816867324519257,-0.10524031244477157,-0.016943189723696968,-0.13578719450768056,0.5761122560507628,-0.12572693967883214,0.1368650034201442,0.1384094131482095
15,1.653352328315228,0.6036990514201502,-1.088471404392495,0.18378945179544603,1.2557603338983763,-0.12368917607961806,-0.23585790365288656,0.45663973934417523,0.6904336980719095,-0.08483010487986982
16,-0.7785036674577973,-0.8813648623251424,-0.17937898024691937,0.36827822467861165,0.06738470485556297,0.31397245548217756,-0.19267142272923743,0.1998269214793554,-0.060303768599672535,-0.05856668794371817
17,-0.6520462260057046,0.3036764153632871,-0.14616522100659382,0.516718744195971,0.018491740771482416,0.061109604797984544,0.34678013754018294,-0.17263279962777792,0.05091665577086502,0.04990664594812201
18,2.0421124080370276,0.47361146497731954,-0.6599194208899057,0.31730609311649255,0.5232868090664331,0.0960215533730041,-0.7058130848024583,0.21786100477200002,0.17583716949291384,0.7948054742914058
19,-0.9584309294608115,0.31393709661053054,0.46580738874793814,0.23411157882897643,0.25912782087349595,0.02161734449194072,-0.29673856434325074,0.10268365637439632,-0.15787578930814494,-0.09084875344415937
20,-0.964227296370983,0.352859215551605,0.27529622806501963,0.08641812210672321,0.17108201092331807,0.23599780893218383,-0.2998622027139208,0.22276855849095906,0.1361589481259555,-0.008814581889339911
21,-0.4761613522657137,-0.5447272905611925,-0.3785280485690509,-0.059973774597636774,-0.12576289820685616,0.10791986553633197,0.10890966438944957,-0.15582821462693844,-0.05797311663012802,-0.14157114723654282
22,0.7932674214516123,-0.45698863653236754,-0.14919530494186173,-0.15792970746282953,-0.6889597909018217,0.43533458157954763,-0.07864517923168136,0.11343045795420134,0.12391336375711441,-0.032069362932092074
23,-0.5184349845295942,-0.7379773705280677,-0.3121238850244651,-0.35267387581619636,-0.37726837307608,0.15780775823360538,0.1819366047879719,0.32291579759749145,0.1029524057346883,-0.006114921227722346
24,-0.8848835520746602,-0.780973852354876,0.469876466797587,0.5066889981157908,0.21843094748262726,-0.33557041644391955,-0.05483781582512706,0.05984230742881026,0.007619494354031869,0.27601561356937565
25,-0.4986242209256709,0.6624069473625053,0.14151973404517157,-0.3955498217200753,-0.06550905942672315,-0.04481138193779765,0.03825841718142541,-0.11946245326921531,0.07105622331940512,-0.059683872587974515
26,2.537815693162317,-0.35029219180721627,1.769057844679841,0.3786382227628979,-0.1541218672897313,0.5285070613786151,0.33303937116164106,0.0017824473295724725,-0.009672235336262911,-0.20652157933542803
27,-0.9407941805491915,-1.016819283385559,0.5131964308777667,0.22780110624774738,0.30794758893128665,0.029898571615194765,-0.09791603475954153,0.16718579423592422,0.09542796563777853,0.41942296229790293
28,-0.8617818500891109,-0.8264546266169482,-0.05671321602040294,0.30377600919552944,-0.03343993639045695,0.31050867536503374,0.0028556083508314823,0.3978985033716499,-0.07934703888293732,0.057362547317787935
29,1.5659918399350181,0.3067036255628687,0.035853271587193,0.6227096913488976,-0.7262463146504343,0.22175230776551458,-0.359494366763258,-0.007166470229306411,0.526168493241913,-0.09704753897730137
